Type,Reference,Vendor No.,Amount,Description,Borough,Business Area,Vendor Name,Address1,Address2,Address3,Address4,Postcode,Email,SortCode,Account No,BSRollNo
Type,Reference,VAT code,Amount,Description,Cost centre,GL Account,SIO,WBS,,,,,,,,
AP,7.58E+05,D000000016,128,758375-DLSF Payment to student,WCC,CT UPLOAD,Joe Bloggs,96 Mallinson Road,London,,,SW11 1BN,JoeBloggs@i.ua,123456,11111111,
GL,7.58E+05,V0,128,758375-DLSF Payment to student,W22003,5371,,,,,,,,,,
,,,,,,,,,,,,,,,,
AP,5.64E+12,D000000016,20,563753-DLSF Payment to student,WCC,CT UPLOAD,Paul Mann,Flat K,Princes Court,88 Brompton Road,,SW3 1ET,pmann@hotmail.com,654321,22222222,
GL,5.64E+12,V0,20,563753-DLSF Payment to student,W22003,5371,,,,,,,,,,
,,,,,,,,,,,,,,,,
AP,4.22E+11,D000000016,28,421765-DLSF Payment to student,WCC,CT UPLOAD,Johnny Rotten,Flat 3,741 Finchley Road,London,,NW11 8DL,jrotten@yahoo.com,951267,33333333,
GL,4.22E+11,V0,28,421765-DLSF Payment to student,W22003,5371,,,,,,,,,,
,,,,,,,,,,,,,,,,
AP,9.21E+11,D000000016,88,921235-DLSF Payment to student,WCC,CT UPLOAD,Phil Taylor,16 Great College Street,London,,,SW1P 3RX,ptaylor@gmail.com,753159,44444444,
GL,9.21E+11,V0,88,921235-DLSF Payment to student,W22003,5371,,,,,,,,,,
,,,,,,,,,,,,,,,,
AP,8.54E+11,D000000016,108,854312-DLSF Payment to student,WCC,CT UPLOAD,Kirk Douglas,Flat 12,Pickwick Court,60 West Park,,SE9 4SA,kdouglas@gmail.com,654987,55555555,
GL,8.54E+11,V0,108,854312-DLSF Payment to student,W22003,5371,,,,,,,,,,
